"Word"	"Duration"	"Speaker"	"File"	"POS"	"Ideal"	"Surface"	"ParseIdeal"	"ParseSurface"	"Prepausal"	"SylNIdeal"	"SylNSurface"	"StressGuess"	"TimeInto"	"IsYoung"	"IsMale"	"IntIsMale"
"okay"	407	1	"01a"	"NN"	"5k1"	"k2"	"5.k1"	"k2"	1	2	1	"?"	32.2165	1	0	0
"um"	330	1	"01a"	"UH"	"Vm"	"Vm"	"Vm"	"Vm"	1	1	1	"1"	44.6179	1	0	0
"i'm"	148	1	"01a"	"PRP_VBP"	"2m"	"2m"	"2m"	"2m"	1	1	1	"1"	45.3546	1	0	0
"lived"	226	1	"01a"	"VBN"	"lIvd"	"lVvd"	"lIvd"	"lVvd"	0	1	1	"1"	47.3077	1	0	0
"in"	129	1	"01a"	"IN"	"In"	"In"	"In"	"In"	0	1	1	"0"	47.5308	1	0	0
"columbus"	488	1	"01a"	"NNP"	"k5lVmbVs"	"klVbVs"	"k5.lVm.bVs"	"klV.bVs"	0	3	2	"??"	47.6589	1	0	0
"my"	168	1	"01a"	"PRP$"	"m2"	"m2"	"m2"	"m2"	0	1	1	"1"	48.1445	1	0	0
"entire"	427	1	"01a"	"JJ"	"Ent23"	"EntEr"	"En.t2.3"	"En.tEr"	0	3	2	"??"	48.3119	1	0	0
"life"	286	1	"01a"	"NN"	"l2f"	"l2f"	"l2f"	"l2f"	0	1	1	"1"	48.7371	1	0	0
"thirty"	268	1	"01a"	"CD"	"T3ti"	"T3Ri"	"T3.ti"	"T3.Ri"	0	2	2	"10"	49.0218	1	0	0
"four"	220	1	"01a"	"CD"	"f5r"	"f5"	"f5r"	"f5"	0	1	1	"1"	49.2876	1	0	0
"years"	667	1	"01a"	"NNS"	"jIrz"	"jErs"	"jIrz"	"jErs"	1	1	1	"1"	49.506	1	0	0
"um"	318	1	"01a"	"UH"	"Vm"	"Vm"	"Vm"	"Vm"	0	1	1	"1"	50.2396	1	0	0
"born"	208	1	"01a"	"VBN"	"b5rn"	"b5r"	"b5rn"	"b5r"	0	1	1	"1"	50.5569	1	0	0
"and"	136	1	"01a"	"CC"	"{nd"	"En"	"{nd"	"En"	0	1	1	"0"	50.7637	1	0	0
"raised"	274	1	"01a"	"VBN"	"r1zd"	"r1zd"	"r1zd"	"r1zd"	0	1	1	"1"	50.8993	1	0	0
"on"	67	1	"01a"	"IN"	"Qn"	"Vn"	"Qn"	"Vn"	0	1	1	"1"	51.1719	1	0	0
